time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
3.6198328,0.0,300,,,
3.6597042,0.039871298,300,,,
3.6944268,0.0347227,300,,,
3.7291825,0.0347557,300,,,
3.7639053,0.0347228,300,,,
3.7986286,0.0347231,300,,,
3.8333511,0.0347227,300,,,
3.868074,0.0347228,300,,,
3.902797,0.0347229,300,,,
3.93752,0.034722902,300,,,
3.9722426,0.034722697,300,,,
4.0069656,0.034723002,300,,,
4.041689,0.034722798,300,,,
4.076412,0.0347227,300,,,
4.1111355,0.034722902,300,,,
4.145859,0.034723,300,,,
4.1817827,0.0359239,300,,,
4.216537,0.0347542,300,,,
4.2512603,0.034723,300,,,
4.2859836,0.0347228,300,,,
4.320707,0.0347226,300,,,
4.35543,0.0347228,300,,,
4.3901534,0.034722697,300,,,
4.4248767,0.034723002,300,,,
4.4596,0.0347229,300,,,
4.4943233,0.034722902,300,,,
4.529047,0.0347233,300,,,
4.5637703,0.034723,300,,,
4.5984936,0.0347227,300,,,
4.633217,0.034722798,300,3,,
4.66794,0.034722902,300,3,,
4.7026634,0.034723,300,3,,
4.7373867,0.034722902,300,3,,
4.77211,0.0347229,300,3,,
4.8068333,0.034723002,300,3,,
4.841557,0.0347231,300,3,,
4.876281,0.0347232,300,3,,
4.911004,0.034722798,300,3,,
4.9457273,0.034722902,300,3,,
4.9804506,0.0347231,300,3,,
5.015174,0.034722902,300,3,,
5.049897,0.034723,300,3,,
5.0846205,0.0347227,300,3,,
5.1193438,0.0347229,300,3,,
5.154067,0.034723002,300,3,,
5.1887903,0.0347229,300,3,,
5.2235136,0.0347228,300,3,,
5.258237,0.0347227,300,3,,
5.29296,0.034722697,300,3,,
5.3276834,0.0347228,300,3,,
5.3624067,0.0347229,300,3,,
5.39713,0.034722902,300,3,,
5.4318533,0.0347226,300,3,,
5.4665766,0.034723,300,3,,
5.5013,0.034722902,300,3,,
5.536023,0.0347229,300,3,,
5.5707464,0.034722902,300,3,,
5.6054697,0.0347227,300,3,,
5.640193,0.034723,300,3,,
5.6749163,0.0347231,300,3,,
5.7096395,0.034722902,300,3,,
5.744363,0.0347229,300,3,,
5.779086,0.034723,300,3,,
5.8138094,0.0347228,300,3,,
5.8485327,0.034722902,300,3,,
5.883256,0.0347229,300,3,,
5.9179792,0.0347228,300,3,,
5.9527025,0.0347229,300,3,,
5.987426,0.0347227,300,3,,
6.022149,0.034723,300,3,,
6.0568724,0.0347228,300,3,,
6.0915956,0.034722902,300,3,,
6.126319,0.0347229,300,3,,
6.161042,0.0347227,300,3,,
6.1957655,0.0347231,300,3,,
6.230489,0.034723,300,3,,
6.2652125,0.0347232,300,3,,
6.299938,0.0347254,300,3,,
6.3346615,0.0347227,300,3,,
6.3693852,0.0347231,300,3,,
6.4041085,0.0347226,300,3,,
6.438832,0.034723,300,3,,
6.473555,0.0347228,300,3,,
6.5082784,0.034723,300,3,,
6.5430017,0.034722902,300,3,,
6.577725,0.034722798,300,3,,
6.612448,0.034722902,300,3,,
6.6471715,0.034723,300,3,,
6.681895,0.034722902,300,3,,
6.716618,0.0347226,300,3,,
6.7513413,0.034722798,300,3,,
6.7860646,0.034722902,300,3,,
6.820788,0.0347229,300,3,,
6.855511,0.034722902,300,3,,
6.8902345,0.0347227,300,3,,
6.9249578,0.0347229,300,3,,
6.959681,0.034723,300,3,,
6.9944043,0.0347228,300,3,,
7.0291276,0.0347228,300,3,,
7.063851,0.0347229,300,3,,
7.098574,0.0347227,300,3,,
7.1332974,0.034723,300,3,,
7.1680207,0.0347228,300,3,,
7.202744,0.0347228,300,3,,
7.2374673,0.034722798,300,3,,
7.2721906,0.0347226,300,3,,
7.306914,0.034722902,300,3,,
7.341637,0.034722798,300,3,,
7.3763604,0.0347228,300,3,,
7.4110837,0.0347228,300,3,,
7.445807,0.0347229,300,3,,
7.4805303,0.0347231,300,3,,
7.5152535,0.034722902,300,3,,
7.549977,0.0347228,300,3,,
7.5847,0.0347229,300,3,,
7.6194234,0.034722902,300,3,,
7.6541467,0.0347229,300,0,,
7.68887,0.034723,300,0,,
7.723593,0.0347227,300,0,,
7.7583165,0.0347228,300,0,,
7.79304,0.0347229,300,0,,
7.827763,0.0347227,300,0,,
7.8624864,0.034722902,300,0,,
7.8972096,0.0347231,300,0,,
7.9319468,0.0347367,300,0,,
7.96667,0.0347229,300,0,,
8.001393,0.034722902,300,0,,
8.036117,0.0347229,300,0,,
8.07084,0.0347227,300,0,,
8.105563,0.034722902,300,0,,
8.140286,0.0347231,300,0,,
8.17501,0.0347229,300,0,,
8.209733,0.034722902,300,0,,
8.244456,0.034723,300,0,,
8.27918,0.034722902,300,0,,
