is_sleeping,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_w,quat_x,quat_y,quat_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_num
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
1,0.0,0.0,92.74,,,,,,,,,,,
0,-3.79,-4.89,103.39,-31.75,-277.69,325.63,0.95473665,-0.032754634,-0.024198445,-0.29465145,-0.45880002,-0.81949997,-5.9259996,1
0,-8.82,-15.03,113.17,-283.69,-123.84,193.72,0.922103,-0.051275056,-0.051275056,-0.38008913,-1.5764,-1.2504001,-4.6445003,1
0,-18.26,-19.15,119.17,-283.37,-123.68,171.84,0.8870245,-0.07134374,-0.07629081,-0.4497524,-1.5764,-1.2504001,-4.6445003,1
0,-27.7,-23.27,124.45,-283.05,-123.52,150.0,0.8456347,-0.09089996,-0.10076708,-0.51622194,-1.5764,-1.2504001,-4.6445003,1
0,-37.14,-27.39,128.99,-282.73,-123.36,128.17,0.79823333,-0.1098196,-0.12453125,-0.5790122,-1.5764,-1.2504001,-4.6445003,1
0,-46.55,-31.51,132.81,-282.41,-123.2,106.37,0.74514955,-0.12795159,-0.14741066,-0.6376917,-1.5764,-1.2504001,-4.6445003,1
0,-51.25,-33.57,134.45,-282.25,-123.12,95.47,0.71659404,-0.13668577,-0.15846464,-0.6653563,-1.5764,-1.2504001,-4.6445003,1
